om p1 p2 p3
8.980 1.98664e-3 7.75184e-5 9.56722e+2
9.000 1.96481e-3 7.58380e-5 9.44225e+2
9.020 1.93221e-3 7.38680e-5 9.29561e+2
9.040 1.88919e-3 7.16318e-5 9.12880e+2
9.060 1.83621e-3 6.91552e-5 8.94373e+2
9.080 1.77391e-3 6.64668e-5 8.74273e+2
9.100 1.70304e-3 6.35972e-5 8.52845e+2
9.120 1.62453e-3 6.05795e-5 8.30380e+2
9.140 1.53941e-3 5.74485e-5 8.07187e+2
9.160 1.44885e-3 5.42409e-5 7.83589e+2
9.180 1.35417e-3 5.09952e-5 7.59910e+2
9.200 1.25676e-3 4.77514e-5 7.36473e+2
9.220 1.15817e-3 4.45511e-5 7.13590e+2
9.240 1.06004e-3 4.14374e-5 6.91555e+2
9.260 9.64087e-4 3.84549e-5 6.70639e+2
9.280 8.72136e-4 3.56495e-5 6.51085e+2
9.300 7.86083e-4 3.30687e-5 6.33100e+2
9.320 7.07889e-4 3.07613e-5 6.16856e+2
9.340 6.39571e-4 2.87773e-5 6.02484e+2
9.360 5.83191e-4 2.71683e-5 5.90073e+2
9.380 5.40841e-4 2.59870e-5 5.79666e+2
9.400 5.14631e-4 2.52874e-5 5.71266e+2
9.420 5.06681e-4 2.51245e-5 5.64833e+2
9.440 5.19099e-4 2.55545e-5 5.60284e+2
9.460 5.53973e-4 2.66343e-5 5.57503e+2
9.480 6.13358e-4 2.84217e-5 5.56335e+2
9.500 6.99259e-4 3.09750e-5 5.56599e+2
9.520 8.13618e-4 3.43528e-5 5.58086e+2
9.540 9.58299e-4 3.86137e-5 5.60569e+2
9.560 1.13508e-3 4.38160e-5 5.63805e+2
9.580 1.34563e-3 5.00175e-5 5.67544e+2
9.600 1.59150e-3 5.72751e-5 5.71531e+2
9.620 1.87412e-3 6.56442e-5 5.75516e+2
9.640 2.19476e-3 7.51784e-5 5.79255e+2
9.660 2.55456e-3 8.59291e-5 5.82519e+2
9.680 2.95447e-3 9.79450e-5 5.85098e+2
9.700 3.39529e-3 1.11271e-4 5.86802e+2
9.720 3.87761e-3 1.25949e-4 5.87468e+2
9.740 4.40183e-3 1.42017e-4 5.86964e+2
9.760 4.96816e-3 1.59506e-4 5.85186e+2
9.780 5.57660e-3 1.78443e-4 5.82066e+2
9.800 6.22693e-3 1.98850e-4 5.77568e+2
9.820 6.91871e-3 2.20740e-4 5.71690e+2
9.840 7.65128e-3 2.44121e-4 5.64462e+2
9.860 8.42377e-3 2.68993e-4 5.55946e+2
9.880 9.23506e-3 2.95348e-4 5.46234e+2
9.900 1.00838e-2 3.23170e-4 5.35442e+2
9.920 1.09685e-2 3.52434e-4 5.23713e+2
9.940 1.18874e-2 3.83105e-4 5.11204e+2
9.960 1.28385e-2 4.15141e-4 4.98093e+2
9.980 1.38195e-2 4.48489e-4 4.84566e+2
10.000 1.48282e-2 4.83088e-4 4.70816e+2
10.020 1.58620e-2 5.18865e-4 4.57037e+2
10.040 1.69180e-2 5.55740e-4 4.43424e+2
