om p1 p2
13.960 1.30954e+0 1.29131e-1
13.980 1.33866e+0 1.34675e-1
14.000 1.36774e+0 1.39882e-1
14.020 1.39671e+0 1.44683e-1
14.040 1.42548e+0 1.49012e-1
14.060 1.45398e+0 1.52801e-1
14.080 1.48212e+0 1.55986e-1
14.100 1.50982e+0 1.58510e-1
14.120 1.53699e+0 1.60317e-1
14.140 1.56356e+0 1.61363e-1
14.160 1.58943e+0 1.61607e-1
14.180 1.61452e+0 1.61021e-1
14.200 1.63874e+0 1.59587e-1
14.220 1.66201e+0 1.57296e-1
14.240 1.68424e+0 1.54154e-1
14.260 1.70535e+0 1.50176e-1
14.280 1.72526e+0 1.45392e-1
14.300 1.74389e+0 1.39843e-1
14.320 1.76118e+0 1.33584e-1
14.340 1.77704e+0 1.26680e-1
14.360 1.79143e+0 1.19206e-1
14.380 1.80426e+0 1.11250e-1
14.400 1.81550e+0 1.02905e-1
14.420 1.82508e+0 9.42740e-2
