u H off
8.74083 6253 -0.567205
8.74308 6267 1.081376
8.74533 6281 -0.046431
8.74757 6295 -0.155394
8.74982 6309 0.009592
8.75207 6323 -1.118882
8.75432 6338 -0.051946
8.75657 6352 -0.782322
8.75882 6366 0.843240
8.76107 6380 -0.032335
8.76332 6395 -0.248402
8.76557 6409 0.287953
8.76782 6424 0.119753
8.77007 6438 0.380924
8.77232 6453 -1.015555
8.77456 6467 0.249006
8.77681 6482 -0.986464
8.77906 6496 0.746219
8.78131 6511 -0.366538
8.78356 6526 1.100274
8.78581 6540 0.227908
8.78806 6555 0.066032
8.79031 6570 -0.002676
8.79256 6585 -0.437926
8.79481 6599 -0.002117
8.79706 6614 0.101494
8.79931 6629 0.047091
8.80155 6644 0.000005
8.80380 6659 0.269191
8.80605 6674 0.414684
8.80830 6689 -0.170491
8.81055 6704 -0.110081
8.81280 6719 -0.347364
8.81505 6734 -0.035587
8.81730 6750 0.094533
8.81955 6765 -0.320507
8.82180 6780 0.036844
8.82405 6795 -0.089692
8.82630 6811 -0.181962
8.82854 6826 0.813219
8.83079 6841 -0.429191
8.83304 6857 0.373314
8.83529 6872 -0.593619
8.83754 6888 0.396785
8.83979 6903 -0.692001
8.84204 6919 0.309341
8.84429 6934 0.242241
8.84654 6950 0.007544
8.84879 6965 -0.132730
8.85104 6981 -0.682293
8.85329 6997 0.400360
8.85553 7013 -0.600771
8.85778 7028 -0.137177
8.86003 7044 0.049947
8.86228 7060 0.026603
8.86453 7076 0.711501
8.86678 7092 -0.636595
8.86903 7108 0.179183
8.87128 7124 0.258486
8.87353 7140 0.306897
8.87578 7156 0.636518
8.87803 7172 -0.307908
8.88028 7188 0.610672
8.88252 7204 0.288958
8.88477 7221 -0.219311
8.88702 7237 0.293975
8.88927 7253 -0.853993
8.89152 7270 0.144199
8.89377 7286 0.934649
8.89602 7302 -0.293635
8.89827 7319 0.340300
8.90052 7335 -0.267471
8.90277 7352 -0.648028
8.90502 7368 -0.127363
8.90727 7385 -0.490332
8.90951 7402 -0.516756
8.91176 7418 -0.111530
8.91401 7435 -0.196546
8.91626 7452 -0.321556
8.91851 7468 0.200303
8.92076 7485 -0.276574
8.92301 7502 -1.023325
8.92526 7519 -0.116271
8.92751 7536 0.651126
8.92976 7553 -0.703562
8.93201 7570 0.162689
8.93426 7587 0.823541
8.93650 7604 0.065699
8.93875 7621 -0.528911
8.94100 7638 0.119006
8.94325 7656 0.591044
8.94550 7673 -1.085521
8.94775 7690 0.297054
8.95000 7707 0.906696
8.95225 7725 0.098257
8.95450 7742 -0.517468
8.95675 7760 -0.221595
8.95900 7777 0.220459
8.96125 7795 0.018361
8.96349 7812 -0.440161
8.96574 7830 -0.124332
8.96799 7847 0.463702
8.97024 7865 -0.213541
8.97249 7883 -1.179706
8.97474 7900 -0.500438
8.97699 7918 0.050401
8.97924 7936 0.601522
8.98149 7954 0.179255
8.98374 7972 -0.083171
8.98599 7990 -0.061351
8.98824 8008 0.184816
8.99048 8026 0.675006
8.99273 8044 0.061584
8.99498 8062 -0.481142
8.99723 8080 0.112411
8.99948 8098 0.623754
9.00173 8117 0.658290
9.00398 8135 0.046655
9.00623 8153 -0.877866
9.00848 8172 -0.793158
9.01073 8190 -0.279056
9.01298 8208 0.392045
9.01523 8227 0.790125
9.01747 8245 -0.158599
9.01972 8264 -0.106350
9.02197 8283 -1.108429
9.02422 8301 -0.348933
9.02647 8320 -0.041398
9.02872 8339 0.281628
9.03097 8357 0.783372
9.03322 8376 0.909382
9.03547 8395 -0.087566
9.03772 8414 -0.091610
9.03997 8433 -1.070591
9.04222 8452 -0.319302
9.04446 8471 0.062062
9.04671 8490 0.177070
9.04896 8509 0.053975
9.05121 8528 0.163382
9.05346 8548 0.105621
9.05571 8567 0.588609
9.05796 8586 0.787073
9.06021 8605 -0.007734
9.06246 8625 0.113659
9.06471 8644 0.176462
9.06696 8664 -0.269920
9.06921 8683 -1.069709
9.07145 8703 -0.791638
9.07370 8722 -0.503545
9.07595 8742 -0.390664
9.07820 8762 -0.520595
9.08045 8781 -0.363188
9.08270 8801 -0.692379
9.08495 8821 -0.377150
9.08720 8841 -0.336910
9.08945 8861 -0.173928
9.09170 8881 0.067041
9.09395 8901 -0.203363
9.09620 8921 -0.360357
9.09844 8941 -0.629189
9.10069 8961 -0.043620
9.10294 8981 -0.068665
9.10519 9001 -0.245619
9.10744 9022 -0.505750
9.10969 9042 -0.688762
9.11194 9062 -1.048279
9.11419 9083 -1.176586
9.11644 9103 -1.017424
9.11869 9124 0.319453
9.12094 9144 0.447390
9.12319 9165 0.086822
9.12543 9185 -0.309621
9.12768 9206 0.642037
9.12993 9227 0.444313
9.13218 9248 0.378086
9.13443 9269 0.339558
9.13668 9289 -0.084693
9.13893 9310 -0.387409
9.14118 9331 -0.424152
9.14343 9352 -0.450174
9.14568 9373 -0.884620
9.14793 9394 0.193239
9.15018 9416 0.772289
9.15242 9437 0.452524
9.15467 9458 0.085010
9.15692 9479 -0.016635
9.15917 9501 0.046985
9.16142 9522 -0.329067
9.16367 9544 0.167688
9.16592 9565 -0.046225
9.16817 9587 0.373571
9.17042 9608 0.269978
9.17267 9630 0.135424
9.17492 9651 -0.286590
9.17717 9673 -0.670595
9.17941 9695 -0.192728
9.18166 9717 0.382333
9.18391 9739 -0.003742
9.18616 9761 -0.038566
9.18841 9783 -0.442224
9.19066 9805 0.111743
9.19291 9827 0.465657
9.19516 9849 -0.124183
9.19741 9871 -0.242047
9.19966 9893 -0.885989
9.20191 9916 1.004809
9.20416 9938 0.288894
9.20640 9960 -0.463350
9.20865 9983 -1.223286
9.21090 10005 0.031856
9.21315 10028 0.554961
9.21540 10050 -0.045874
9.21765 10073 -0.737595
9.21990 10096 0.336214
9.22215 10118 0.027331
9.22440 10141 -0.149288
9.22665 10164 0.250737
9.22890 10187 0.988008
9.23115 10210 0.003875
