u x R1 R2 R3
8.38275 4371 8903469.1373175196 25934370985.578384 84986717794988.469
8.38754 4392 8989261.7159788571 26310116892.576286 86632400246158.594
8.39254 4414 9079583.8866689652 26707629843.727081 88381964030595.734
8.39773 4437 9174488.7026347890 27127471651.310387 90239249929723.922
8.40268 4459 9265733.4828275125 27533154869.665421 92043028523749.859
8.40760 4481 9357427.9472936578 27942862770.611149 93873714915823.297
8.41272 4504 9453772.0650856216 28375518481.380421 95816673585811.266
8.41759 4526 9546390.5682569612 28793520418.787880 97703229455982.109
8.42266 4549 9643700.6017592363 29234890609.329643 99705183898109.844
8.42771 4572 9741505.8384699784 29680748462.413670 101737747576369.38
8.43272 4595 9839804.1618593279 30131116704.287060 103801230924868.63
8.43772 4618 9938595.9544344544 30586018018.484814 105895945942393.22
8.44269 4641 10037881.444366802 31045475134.236473 108022206195046.06
8.44763 4664 10137659.912038099 31509510718.226055 110180326815818.53
8.45255 4687 10237930.906079192 31978147409.780220 112370624499482.86
8.45766 4711 10343088.600273438 32472089727.508358 114690802750771.13
8.46274 4735 10448781.665477887 32971092474.054398 117046726870638.86
8.46758 4758 10550575.878611675 33454075806.228531 119338368251577.66
8.47261 4782 10657320.585596176 33963063173.872360 121765354512459.45
8.47762 4806 10764603.481551865 34477187197.770844 124229172628168.48
8.48260 4830 10872424.042099740 34996473724.767807 126730193369075.91
8.48756 4854 10980782.932231566 35520948513.462006 129268789362627.39
8.49270 4879 11094228.003899094 36072821392.568230 131953520282452.64
8.49760 4903 11203683.623949705 36607969099.037949 134569997217091.08
8.50269 4928 11318275.407047043 37171015665.969208 137336673335937.31
8.50775 4953 11433447.426879687 37739806319.601608 140145793169213.20
8.51258 4977 11544562.234502062 38291276410.216476 142882880146169.84
8.51759 5002 11660876.536293846 38871409950.346718 145776444536791.16
8.52258 5027 11777774.177797126 39457373789.283966 148713737396600.41
8.52774 5053 11899965.447282737 40072992273.389915 151815380372275.91
8.53267 5078 12018051.844706103 40670940279.949547 154843240941314.41
8.53758 5103 12136720.301905273 41274807163.640816 157916169386570.88
8.54267 5129 12260755.696242644 41909138825.213676 161160301356035.88
8.54772 5155 12385421.921629177 42549936701.655136 164454163164550.75
8.55275 5181 12510716.875488799 43197233604.334953 167798260456734.72
