logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
12.70173 328315 0.1640667 0.0092628 -0.0060827 -0.0535704 0.2144569
12.72481 335981 0.1086009 -0.0016115 -0.0025718 -0.0088304 0.1216145
12.74789 343827 -0.0151254 -0.0119306 -0.0013708 0.0229723 -0.0247963
12.77098 351856 -0.0982741 -0.0211097 -0.0042072 0.0317381 -0.1046952
12.79406 360073 -0.1244181 -0.0190264 -0.0019456 0.0378379 -0.1412840
12.81714 368481 -0.1276142 -0.0073587 0.0033036 0.0349150 -0.1584741
12.84023 377086 -0.2416005 0.0025892 0.0005654 -0.0036460 -0.2411091
12.86331 385892 -0.3721154 0.0051040 -0.0008555 -0.0170374 -0.3593264
12.88640 394903 -0.4602417 0.0058204 0.0059241 0.0150696 -0.4870559
12.90948 404125 -0.4684653 0.0074119 0.0091969 0.0274546 -0.5125287
12.93256 413562 -0.4721542 0.0112197 0.0057175 0.0005382 -0.4896296
12.95565 423220 -0.4699290 0.0090500 0.0027513 -0.0088681 -0.4728621
12.97873 433103 -0.5070620 0.0094014 -0.0003763 -0.0253848 -0.4907023
13.00181 443217 -0.5347387 -0.0029334 -0.0087249 -0.0362909 -0.4867895
13.02490 453567 -0.4966038 -0.0125140 -0.0144992 -0.0412107 -0.4283799
13.04798 464158 -0.3246312 -0.0086706 -0.0110047 -0.0333471 -0.2716088
13.07106 474997 -0.2629003 -0.0096354 -0.0051050 -0.0014366 -0.2467232
13.09415 486090 -0.1575427 -0.0082063 0.0044898 0.0429648 -0.1967910
13.11723 497441 0.0325241 -0.0054510 0.0109665 0.0684602 -0.0414516
13.14032 509057 0.1252856 0.0016920 0.0100933 0.0462366 0.0672637
13.16340 520945 0.1381525 0.0153464 0.0069314 -0.0037087 0.1195834
13.18648 533110 0.1764705 0.0185815 0.0091491 -0.0007083 0.1494482
13.20957 545559 0.0971292 0.0074522 0.0122422 0.0425807 0.0348541
13.23265 558299 0.0190641 0.0065937 0.0108600 0.0378159 -0.0362054
13.25573 571336 -0.0068402 0.0011105 0.0096852 0.0456497 -0.0632855
13.27882 584678 0.0572812 0.0003966 0.0074291 0.0361538 0.0133018
13.30190 598332 0.1447102 0.0021529 0.0032015 0.0106253 0.1287306
13.32498 612304 0.2268187 -0.0046877 -0.0016520 0.0034595 0.2296989
13.34807 626603 0.3076162 -0.0153527 -0.0034313 0.0212254 0.3051748
13.37115 641235 0.3067223 -0.0202910 -0.0018341 0.0415569 0.2872905
13.39423 656209 0.1623917 -0.0160298 -0.0113765 -0.0168078 0.2066057
13.41732 671533 0.0498336 -0.0009339 -0.0104698 -0.0500143 0.1112517
13.44040 687215 0.0088634 0.0088444 -0.0074917 -0.0595695 0.0670801
13.46349 703263 -0.1072600 0.0111498 -0.0090272 -0.0730102 -0.0363724
13.48657 719685 -0.2071411 0.0079799 -0.0128703 -0.0843011 -0.1179497
13.50965 736491 -0.1418305 0.0090712 -0.0112469 -0.0789125 -0.0607423
13.53274 753690 -0.1972610 0.0082530 -0.0063487 -0.0523760 -0.1467893
13.55582 771290 -0.3468912 0.0059839 -0.0011532 -0.0207257 -0.3309961
13.57890 789301 -0.4941472 0.0071224 -0.0058690 -0.0471508 -0.4482497
13.60199 807733 -0.5890132 0.0045161 -0.0184289 -0.1034345 -0.4716659
13.62507 826595 -0.5194028 -0.0059306 -0.0287400 -0.1288731 -0.3558591
13.64815 845898 -0.4169420 -0.0105768 -0.0359560 -0.1533380 -0.2170711
13.67124 865652 -0.3097687 -0.0105927 -0.0344770 -0.1459034 -0.1187955
13.69432 885866 -0.2194081 -0.0078547 -0.0256846 -0.1087859 -0.0770828
13.71740 906553 -0.0848887 -0.0029612 -0.0147913 -0.0665533 -0.0005829
13.74049 927723 -0.0365313 0.0014599 -0.0151085 -0.0791919 0.0563092
13.76357 949387 0.0288611 0.0117241 -0.0109028 -0.0838242 0.1118641
13.78666 971557 0.1284200 0.0053034 0.0035671 0.0045772 0.1149722
13.80974 994245 0.1991636 0.0045876 0.0177950 0.0775063 0.0992746
13.83282 1017463 0.2675443 0.0022088 0.0247495 0.1182256 0.1223605
13.85591 1041223 0.2948124 0.0016698 0.0276522 0.1340867 0.1314036
13.87899 1065537 0.3356073 0.0099922 0.0277719 0.1138793 0.1839638
13.90207 1090420 0.2913448 0.0113889 0.0276038 0.1095469 0.1428051
13.92516 1115883 0.2448342 -0.0034325 0.0215023 0.1160931 0.1106712
13.94824 1141942 0.2378058 -0.0109136 0.0168606 0.1115873 0.1202715
13.97132 1168608 0.2404330 -0.0097461 0.0175445 0.1120880 0.1205466
13.99441 1195898 0.0952194 -0.0089571 0.0171896 0.1083407 -0.0213538
14.01749 1223824 -0.0726435 -0.0037968 0.0179908 0.0994464 -0.1862839
14.04057 1252403 -0.1014984 0.0061874 0.0238242 0.1036529 -0.2351629
14.06366 1281649 -0.1468517 0.0103984 0.0217302 0.0826549 -0.2616352
14.08674 1311579 -0.1318778 0.0109441 0.0122764 0.0340219 -0.1891202
14.10983 1342207 -0.0498966 0.0118615 0.0071453 0.0060731 -0.0749766
14.13291 1373550 -0.1331449 0.0127827 0.0052502 -0.0057056 -0.1454722
14.15599 1405625 -0.2899579 0.0060844 0.0004154 -0.0131338 -0.2833239
14.17908 1438449 -0.4489500 0.0027612 -0.0087440 -0.0506226 -0.3923447
14.20216 1472040 -0.4714507 -0.0027981 -0.0127291 -0.0566501 -0.3992733
14.22524 1506415 -0.4009112 -0.0134304 -0.0217301 -0.0750740 -0.2906767
